MILK â€” Cookie Manager,elecgccjglhjocbnkinfniflpkiedfag
'Improve YouTube!' (Video & YouTube Tools)ðŸŽ§,idieknmcodlmhaagdcjhikkfkcgbkaon
'Improve YouTube!' ðŸŽ§ (for YouTube & Videos),bnomihfieiccainjcjblhegjgglakjdd
'Improve YouTube!' ðŸŽ§ (for YouTube & Videos),ggdjjebkdbadfblmfmijjffdjegiafjl
AdGuard VPN â€” free & secure proxy for Chrome,hhdobjgopfphlmjbmnpglhfcgppchgje
AI Grammar Checker & Paraphraser â€“ LanguageTool,oldceeleldhonbafppcapldpdifcinji
Allow Right-Click,hnafhkjheookmokbkpnfpmemlppjdgoi
Automa,infppggnoaenmfagbfknfkancpbljcca
Automa,mpdpiiipaaaedpicfjbnbfabfbhfnepm
AutoPagerize,modalhneeoocidfefbgchpgajiomcbpf
AutoplayStopper,ejddcgojdblidajhngkogefpkknnebdh
Chrome extension source viewer,jifpbeccnghkjeaalbbjmodiffmgedin
Chromium Web Store,ocaahdebbfolfmndjeplogmgcagdmblk
Close Tabs to the Left,milamhddbnanicgmbdnoiidbpjbnejdo
Clutter Free - Prevent duplicate tabs,daildiamaembncibjognfobkjpmicdkb
Clutter Free - Prevent duplicate tabs,kghnbofjhpampafmogigomgpcmlcopim
Clutter Free - Prevent duplicate tabs,pepdafehaibcippdaomgoeemmfgibaan
Enhanced History,fcpnedddhlpmkkaimhimfmgagmmcccjo
enhanced-h264ify,odhglhcfcaochippaeailghlmoliamch
enhanced-h264ify,omkfmpieigblcllmkgbflkikinpkodlk
Focus To-Do: Pomodoro Timer & To Do List,gaedhohbgnaigmmplfplkdlkmmljdlmb
Github - Date of creation,dgnomofcgpdalifennakmbocjpdiafhg
Google Translate,aapbdbdomjkkjkaonfhkkikfgjllcleb
IDM Integration Module,llbjbkhnmlidjebalopleeepgdfgcpec
jQuery Injector,ekkjohcjbjcjjifokpingdbdlfekjcgi
LeechBlock NG,blaaajhemilngeeffpbfkdjjoefldkok
"Lightweight Alarm Clock, Timer & Countdown",mmcdcdolfnjmabjmkkgegfldahfignip
Linkclump,lfpjkncokllnfokkgpkobnkbkmelfefj
LocalStorage Manager,njacedfgmkfpmhlfbfcmicecbiechijp
Marinara: PomodoroÂ® Assistant,lojgmehidjdhhbmpjfamhpkpodfcodef
MILK â€” Cookie Manager,haipckejfdppjfblgondaakgckohcihp
NextPage - auto load next page,pjahljdpmjmhaobgekfpfdelgbiagdbo
Open Multiple URLs,oifijhaokejakekmnjmphonojcfkpbbh
Pomodoro Grande: Advanced Pomodoro Timer,dlijekhgkbgmkkfbchmmdmbgaakkcjij
Pomodoro Grande: Advanced Pomodoro Timer,hmkklgcpkihbecjbohepediganhefdof
Powerful Pixiv Downloader,hjkijgojephpfecdmpgbdphclbfhfegg
Prayer Times,fbkmgnkliklgbmanjkmiihkdioepnkce
Proton VPN: Fast & Secure,jplgfhpmjnbigmhklmmbgecoobifkmpa
ProWritingAid: Grammar Checker & Paraphrasing Tool,npnbdojkgkbcdfdjlfdmplppdphlhhcf
Redirector,ocgpenflpmgnfapjedencafcfakcekcd
Reload All Tabs,midkcinmplflbiflboepnahkboeonkam
Request Control,gkadogdmakibilhnklflcgaennojgipd
"Requestly: Redirect Url, Modify Headers etc",ilkkmmlmpaeiinebdabjijaembfeakbm
Salati,lenmdddlkhmijnglccgabdanailmpijd
Search all Tabs,ndfnfhnlgoocpbbjjjfmiojdfcgcfomn
Shortkeys (Custom Keyboard Shortcuts),gdlelpeoefdmhdjmlganejpkdmnnabhb
SponsorBlock for YouTube - Skip Sponsorships,gehnhpcacdlbnknieihcehhkhlcjgioc
SponsorBlock for YouTube - Skip Sponsorships,mnjggcdmjocbbbhaepdhchncahnbgone
StayFocusd,hdpmpcmcabncldimbbnkbeneehhekpdc
Stop AutoPlay Next for YouTubeâ„¢,bhnhbmjfaanopkalgkjoiemhekdnhanh
The Best Task Reminder,olmfdjjnijhhkaokcipmaeloobpafiae
To-Do List,nbneidekejobdbikjojfichibmdbagjd
uBlock Origin,cjpalhdlnbpafiamejdnhcphjbkeiagm
Unhook - Remove YouTube Recommended & Shorts,khncfooichmfjbepaaaebmommgaepoid
Unhook - Remove YouTube Recommended & Shorts,piijkgcdggldenakpmhjbaochodgcnml
Violentmonkey,jinjaccalgkegednnccohejagnlnfdag
Volume Master,jghecgabfgfdldnmbfkhmffcabddioke
Windscribe - Free Proxy and Ad Blocker,hnmpcagpplmpfojmgmnngilcnanddlhb
XPath CSS Explorer,dbjcfnkjmfjlcodehoiodgaohdneolkf
YouTube Redux,alhfgagpjnnmianknpiodjdeamljoadc
YouTube Redux,mdgdgieddpndgjlmeblhjgljejejkikf
